,Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor_BRL,CEP,Latitude,Longitude
0,Avenida Itacira,Planalto Paulista,São Paulo,1000,4,8,6,7000000.0,4061000.0,-23.6157934,-46.6481622
1,Avenida Itacira,Planalto Paulista,São Paulo,1000,4,8,6,7000000.0,4061001.0,-23.6157934,-46.6481622
2,Avenida Itacira,Planalto Paulista,São Paulo,1000,4,8,6,7000000.0,4061002.0,-23.6157934,-46.6481622
3,Avenida Itacira,Planalto Paulista,São Paulo,1000,4,8,6,7000000.0,4061003.0,-23.6157934,-46.6481622
4,Avenida Itacira,Planalto Paulista,São Paulo,361,4,6,4,2300000.0,4061000.0,-23.6157934,-46.6481622
5,Avenida Itacira,Planalto Paulista,São Paulo,361,4,6,4,2300000.0,4061001.0,-23.6157934,-46.6481622
6,Avenida Itacira,Planalto Paulista,São Paulo,361,4,6,4,2300000.0,4061002.0,-23.6157934,-46.6481622
7,Avenida Itacira,Planalto Paulista,São Paulo,361,4,6,4,2300000.0,4061003.0,-23.6157934,-46.6481622
8,Avenida Itacira,Planalto Paulista,São Paulo,1000,5,7,14,6000000.0,4061000.0,-23.6157934,-46.6481622
9,Avenida Itacira,Planalto Paulista,São Paulo,1000,5,7,14,6000000.0,4061001.0,-23.6157934,-46.6481622
10,Avenida Itacira,Planalto Paulista,São Paulo,1000,5,7,14,6000000.0,4061002.0,-23.6157934,-46.6481622
11,Avenida Itacira,Planalto Paulista,São Paulo,1000,5,7,14,6000000.0,4061003.0,-23.6157934,-46.6481622
12,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061000.0,-23.6157934,-46.6481622
13,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061001.0,-23.6157934,-46.6481622
14,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061002.0,-23.6157934,-46.6481622
15,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061003.0,-23.6157934,-46.6481622
16,Avenida Itacira,Planalto Paulista,São Paulo,300,4,3,3,2000000.0,4061000.0,-23.6157934,-46.6481622
17,Avenida Itacira,Planalto Paulista,São Paulo,300,4,3,3,2000000.0,4061001.0,-23.6157934,-46.6481622
18,Avenida Itacira,Planalto Paulista,São Paulo,300,4,3,3,2000000.0,4061002.0,-23.6157934,-46.6481622
19,Avenida Itacira,Planalto Paulista,São Paulo,300,4,3,3,2000000.0,4061003.0,-23.6157934,-46.6481622
20,Avenida Itacira,Planalto Paulista,São Paulo,305,4,3,3,2000000.0,4061000.0,-23.6157934,-46.6481622
21,Avenida Itacira,Planalto Paulista,São Paulo,305,4,3,3,2000000.0,4061001.0,-23.6157934,-46.6481622
22,Avenida Itacira,Planalto Paulista,São Paulo,305,4,3,3,2000000.0,4061002.0,-23.6157934,-46.6481622
23,Avenida Itacira,Planalto Paulista,São Paulo,305,4,3,3,2000000.0,4061003.0,-23.6157934,-46.6481622
24,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061000.0,-23.6157934,-46.6481622
25,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061001.0,-23.6157934,-46.6481622
26,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061002.0,-23.6157934,-46.6481622
27,Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,6000000.0,4061003.0,-23.6157934,-46.6481622
28,Avenida Itacira,Planalto Paulista,São Paulo,322,4,5,4,1950000.0,4061000.0,-23.6157934,-46.6481622
29,Avenida Itacira,Planalto Paulista,São Paulo,322,4,5,4,1950000.0,4061001.0,-23.6157934,-46.6481622
30,Avenida Itacira,Planalto Paulista,São Paulo,322,4,5,4,1950000.0,4061002.0,-23.6157934,-46.6481622
31,Avenida Itacira,Planalto Paulista,São Paulo,322,4,5,4,1950000.0,4061003.0,-23.6157934,-46.6481622
32,Avenida Itacira,Planalto Paulista,São Paulo,155,2,1,2,1200000.0,4061000.0,-23.6157934,-46.6481622
33,Avenida Itacira,Planalto Paulista,São Paulo,155,2,1,2,1200000.0,4061001.0,-23.6157934,-46.6481622
34,Avenida Itacira,Planalto Paulista,São Paulo,155,2,1,2,1200000.0,4061002.0,-23.6157934,-46.6481622
35,Avenida Itacira,Planalto Paulista,São Paulo,155,2,1,2,1200000.0,4061003.0,-23.6157934,-46.6481622
36,Avenida Itacira,Planalto Paulista,São Paulo,260,3,5,2,850000.0,4061000.0,-23.6157934,-46.6481622
37,Avenida Itacira,Planalto Paulista,São Paulo,260,3,5,2,850000.0,4061001.0,-23.6157934,-46.6481622
38,Avenida Itacira,Planalto Paulista,São Paulo,260,3,5,2,850000.0,4061002.0,-23.6157934,-46.6481622
39,Avenida Itacira,Planalto Paulista,São Paulo,260,3,5,2,850000.0,4061003.0,-23.6157934,-46.6481622
40,Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,496,4,4,4,3700000.0,4642020.0,-23.6409612,-46.6883114
41,Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,780,5,4,6,4800000.0,4642020.0,-23.6409612,-46.6883114
42,Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,370,3,5,4,3672500.0,4642020.0,-23.6409612,-46.6883114
43,Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,355,3,6,4,3540100.0,4642020.0,-23.6409612,-46.6883114
44,Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,360,3,6,4,3540100.0,4642020.0,-23.6409612,-46.6883114
45,Rua Alba Valdez,Jardim Reimberg,São Paulo,125,4,3,2,380000.0,4845200.0,-23.75299,-46.6958895
46,Rua Tobias Barreto,Mooca,São Paulo,100,3,2,2,540000.0,3176000.0,-23.5499597,-46.5881729
47,Rua Tobias Barreto,Mooca,São Paulo,90,3,2,1,520000.0,3176000.0,-23.5499597,-46.5881729
48,Rua Graham Bell,Santo Amaro,São Paulo,440,4,4,6,1980000.0,4737030.0,-23.5937964,-46.7600773
49,Rua Graham Bell,Santo Amaro,São Paulo,772,7,7,6,2700000.0,4737030.0,-23.5937964,-46.7600773
50,Rua Graham Bell,Santo Amaro,São Paulo,440,4,3,5,1970000.0,4737030.0,-23.5937964,-46.7600773
51,Rua Graham Bell,Santo Amaro,São Paulo,445,4,3,5,1970000.0,4737030.0,-23.5937964,-46.7600773
52,Rua Graham Bell,Santo Amaro,São Paulo,440,4,3,5,1980000.0,4737030.0,-23.5937964,-46.7600773
53,Rua Graham Bell,Santo Amaro,São Paulo,445,4,3,5,1980000.0,4737030.0,-23.5937964,-46.7600773
54,Rua Francisco Paulo,Cidade Mãe do Céu,São Paulo,145,4,4,2,850000.0,3306050.0,-23.5222541,-46.5164525
55,Rua Guilherme Valente,Jardim Vergueiro,São Paulo,150,2,2,2,450000.0,5818280.0,-23.6647336,-46.7339399
56,Rua Sagrada Família,Jardim Benfica,São Paulo,48,2,1,1,199900.0,8140520.0,-23.5875122,-46.6115287
57,Rua Tapaji,Vila Alpina,São Paulo,114,3,3,2,585000.0,3207050.0,-23.6004694,-46.5615172
58,Rua Vigário João Álvares,Vila Monumento,São Paulo,261,4,4,3,700000.0,1551040.0,-23.5757239,-46.6119322
59,Rua Vigário João Álvares,Vila Monumento,São Paulo,300,4,3,4,1000000.0,1551040.0,-23.5757239,-46.6119322
60,Rua Vigário João Álvares,Vila Monumento,São Paulo,92,3,3,2,585000.0,1551040.0,-23.5757239,-46.6119322
61,Rua Vigário João Álvares,Vila Monumento,São Paulo,92,3,2,2,580000.0,1551040.0,-23.5757239,-46.6119322
62,Rua Tuim,Vila Uberabinha,São Paulo,193,3,3,2,2500000.0,4514100.0,-23.6005259,-46.6692304
63,Rua Tuim,Vila Uberabinha,São Paulo,193,3,3,2,2500000.0,4514101.0,-23.6008864,-46.6696398
64,Rua Tuim,Vila Uberabinha,São Paulo,193,3,3,2,2500000.0,4514102.0,-23.6008864,-46.6696398
65,Rua Tuim,Vila Uberabinha,São Paulo,193,3,3,2,2500000.0,4514103.0,-23.6008864,-46.6696398
66,Rua Antônio Pereira Mendes,Jardim Prudência,São Paulo,251,3,5,4,1700000.0,4648235.0,-23.654041,-46.6761882
67,Rua Antônio Pereira Mendes,Jardim Prudência,São Paulo,251,3,5,5,1450000.0,4648235.0,-23.654041,-46.6761882
68,Rua João Antunes Carvalho,Lauzane Paulista,São Paulo,300,4,5,4,1150000.0,2435100.0,-23.481381,-46.6421852
69,Rua Timbé,Jardim Santa Maria,São Paulo,135,3,3,2,550000.0,3576070.0,-23.5499099,-46.5079254
70,Rua João Tauler,Vila Nova,São Paulo,180,4,2,4,420000.0,3288050.0,-23.592866,-46.5313273
71,Rua Alice Garcia Vega,Itaberaba,São Paulo,300,3,5,4,2232000.0,2737050.0,-23.4878801,-46.6896604
72,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,110,3,2,5,860000.0,4149120.0,-23.618592,-46.6186559
73,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,110,3,2,5,914000.0,4149120.0,-23.618592,-46.6186559
74,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,168,3,4,4,960000.0,4149120.0,-23.618592,-46.6186559
75,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,96,2,1,2,950000.0,4149120.0,-23.618592,-46.6186559
76,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,173,3,4,4,960000.0,4149120.0,-23.618592,-46.6186559
77,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,110,3,1,5,913900.0,4149120.0,-23.618592,-46.6186559
78,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,115,3,1,5,913900.0,4149120.0,-23.618592,-46.6186559
79,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,115,3,1,5,913900.0,4149120.0,-23.618592,-46.6186559
80,Rua Jaime Pinto Ferreira,Vila Mazzei,São Paulo,120,2,1,1,490000.0,2308150.0,-23.4715716,-46.601844
81,Rua Antônio Wey,Jardim Ivana,São Paulo,250,3,1,5,650000.0,5364110.0,-23.6130752,-46.5268805
82,Rua Andrade Neves,Bela Aliança,São Paulo,502,4,6,4,2985000.0,5087020.0,-23.5242885,-46.7202857
83,Rua Andrade Neves,Bela Aliança,São Paulo,502,4,6,4,2990000.0,5087020.0,-23.5242885,-46.7202857
84,Rua Japeacaba,Vila Albertina,São Paulo,268,3,6,4,1700000.0,2373050.0,-23.4540005,-46.6185781
85,Rua Japeacaba,Vila Albertina,São Paulo,238,3,3,3,1300000.0,2373050.0,-23.4540005,-46.6185781
86,Rua Japeacaba,Vila Albertina,São Paulo,243,3,3,3,1300000.0,2373050.0,-23.4540005,-46.6185781
87,Rua Japeacaba,Vila Albertina,São Paulo,243,3,3,3,1300000.0,2373050.0,-23.4540005,-46.6185781
88,Rua Senador Vergueiro,Santo Amaro,São Paulo,355,4,7,4,3100000.0,4739060.0,-23.6465976,-46.6938975
89,Rua Senador Vergueiro,Santo Amaro,São Paulo,350,3,4,6,2950000.0,4739060.0,-23.6465976,-46.6938975
90,Rua Senador Vergueiro,Santo Amaro,São Paulo,1000,4,6,5,5500000.0,4739060.0,-23.6465976,-46.6938975
91,Rua Domingos Menezes,Vila Libanesa,São Paulo,320,5,4,6,890000.0,3738060.0,-23.5064801,-46.5064568
92,Rua Manuel Monteiro,Cidade Domitila,São Paulo,180,3,3,4,550000.0,4387150.0,-23.664646,-46.6498621
93,Avenida Maria Estela,Jardim Maria Estela,São Paulo,110,2,1,1,445000.0,4180010.0,-23.6367964,-46.5965325
94,Rua Professor Ciro Formicola,Parque São Rafael,São Paulo,125,2,1,2,425000.0,8311240.0,-23.6299494,-46.4702523
95,Rua Elias Gannam,Vila Bandeirantes,São Paulo,120,2,3,2,500000.0,2552040.0,-23.4975216,-46.6648798
96,Rua Mata Machado,Vila Califórnia,São Paulo,260,4,4,4,1250000.0,3215000.0,-23.6082946,-46.5576237
97,Avenida Presidente Tancredo Neves,Vila Nancy,São Paulo,132,2,1,1,390000.0,4287010.0,-23.6095029,-46.6069324
98,Rua Antônio Assumpção,Parada Inglesa,São Paulo,154,2,4,4,650000.0,2248040.0,-23.4832425,-46.5985963
99,Rua Lauro Luchesi,Jardim Leonor Mendes de Barros,São Paulo,300,4,4,3,1600000.0,2348090.0,-23.4604115,-46.6140698
100,Rua Artur Montenegro,Jardim Iva,São Paulo,250,2,2,2,370000.0,3921050.0,-23.5908256,-46.5179523
101,Avenida Dom Rodrigo Sanches,Jardim Amália,São Paulo,120,2,2,1,130000.0,5892360.0,-23.6612086,-46.7868272
102,Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,1100000.0,4558000.0,-23.6044921,-46.683813
103,Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,1100000.0,4558001.0,-23.6074047,-46.6801826
104,Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,1100000.0,4558002.0,-23.6044921,-46.683813
105,Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,1100000.0,4558003.0,-23.6048852,-46.6833335
