,Unnamed: 0,Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor_BRL,CEP,Latitude,Longitude,Point,setor_censo
0,0,Rua Alba Valdez,Jardim Reimberg,São Paulo,125.0,4.0,3.0,2.0,380000.0,4845200.0,-23.75299,-46.6958895,POINT (-46.6958895 -23.75299),355030830001084.0
1,1,Rua Graham Bell,Santo Amaro,São Paulo,440.0,4.0,4.0,6.0,1980000.0,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169.0
2,2,Rua Graham Bell,Santo Amaro,São Paulo,440.0,4.0,3.0,5.0,1970000.0,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169.0
3,3,Rua Graham Bell,Santo Amaro,São Paulo,445.0,4.0,3.0,5.0,1970000.0,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169.0
4,4,Rua Graham Bell,Santo Amaro,São Paulo,440.0,4.0,3.0,5.0,1980000.0,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169.0
5,5,Rua Graham Bell,Santo Amaro,São Paulo,445.0,4.0,3.0,5.0,1980000.0,4737030.0,-23.5937964,-46.7600773,POINT (-46.7600773 -23.5937964),355030865000169.0
6,6,Rua Tapaji,Vila Alpina,São Paulo,114.0,3.0,3.0,2.0,585000.0,3207050.0,-23.6004694,-46.5615172,POINT (-46.5615172 -23.6004694),355030893000075.0
7,7,Rua Timbé,Jardim Santa Maria,São Paulo,135.0,3.0,3.0,2.0,550000.0,3576070.0,-23.5499099,-46.5079254,POINT (-46.5079254 -23.5499099),355030891000185.0
8,8,Rua João Tauler,Vila Nova,São Paulo,180.0,4.0,2.0,4.0,420000.0,3288050.0,-23.592866,-46.5313273,POINT (-46.5313273 -23.592866),355030876000308.0
9,9,Rua Japeacaba,Vila Albertina,São Paulo,268.0,3.0,6.0,4.0,1700000.0,2373050.0,-23.4540005,-46.6185781,POINT (-46.6185781 -23.4540005),355030881000047.0
10,10,Rua Japeacaba,Vila Albertina,São Paulo,238.0,3.0,3.0,3.0,1300000.0,2373050.0,-23.4540005,-46.6185781,POINT (-46.6185781 -23.4540005),355030881000047.0
11,11,Rua Japeacaba,Vila Albertina,São Paulo,243.0,3.0,3.0,3.0,1300000.0,2373050.0,-23.4540005,-46.6185781,POINT (-46.6185781 -23.4540005),355030881000047.0
12,12,Rua Japeacaba,Vila Albertina,São Paulo,243.0,3.0,3.0,3.0,1300000.0,2373050.0,-23.4540005,-46.6185781,POINT (-46.6185781 -23.4540005),355030881000047.0
13,13,Rua Senador Vergueiro,Santo Amaro,São Paulo,355.0,4.0,7.0,4.0,3100000.0,4739060.0,-23.6465976,-46.6938975,POINT (-46.6938975 -23.6465976),355030871000024.0
14,14,Rua Senador Vergueiro,Santo Amaro,São Paulo,350.0,3.0,4.0,6.0,2950000.0,4739060.0,-23.6465976,-46.6938975,POINT (-46.6938975 -23.6465976),355030871000024.0
15,15,Rua Senador Vergueiro,Santo Amaro,São Paulo,1000.0,4.0,6.0,5.0,5500000.0,4739060.0,-23.6465976,-46.6938975,POINT (-46.6938975 -23.6465976),355030871000024.0
16,16,Rua Manuel Monteiro,Cidade Domitila,São Paulo,180.0,3.0,3.0,4.0,550000.0,4387150.0,-23.664646,-46.6498621,POINT (-46.6498621 -23.664646),355030838000301.0
17,17,Avenida Maria Estela,Jardim Maria Estela,São Paulo,110.0,2.0,1.0,1.0,445000.0,4180010.0,-23.6367964,-46.5965325,POINT (-46.5965325 -23.6367964),355030868000385.0
18,18,Rua Mata Machado,Vila Califórnia,São Paulo,260.0,4.0,4.0,4.0,1250000.0,3215000.0,-23.6082946,-46.5576237,POINT (-46.5576237 -23.6082946),355030893000137.0
19,19,Rua Lauro Luchesi,Jardim Leonor Mendes de Barros,São Paulo,300.0,4.0,4.0,3.0,1600000.0,2348090.0,-23.4604115,-46.6140698,POINT (-46.6140698 -23.4604115),355030881000248.0
20,20,Rua Kansas,Brooklin Paulista,São Paulo,180.0,3.0,3.0,3.0,1100000.0,4558000.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
21,21,Rua Kansas,Brooklin Paulista,São Paulo,180.0,3.0,3.0,3.0,1100000.0,4558001.0,-23.6074047,-46.6801826,POINT (-46.6801826 -23.6074047),355030835000029.0
22,22,Rua Kansas,Brooklin Paulista,São Paulo,180.0,3.0,3.0,3.0,1100000.0,4558002.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
23,23,Rua Kansas,Brooklin Paulista,São Paulo,180.0,3.0,3.0,3.0,1100000.0,4558003.0,-23.6048852,-46.6833335,POINT (-46.6833335 -23.6048852),355030835000247.0
24,24,Rua Kansas,Brooklin Paulista,São Paulo,180.0,3.0,3.0,3.0,1100000.0,4558004.0,-23.6024271,-46.6864114,POINT (-46.6864114 -23.6024271),355030835000170.0
25,25,Rua Kansas,Brooklin Paulista,São Paulo,180.0,3.0,3.0,3.0,1100000.0,4558005.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
26,26,Rua Kansas,Brooklin Paulista,São Paulo,200.0,3.0,1.0,10.0,2240000.0,4558000.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
27,27,Rua Kansas,Brooklin Paulista,São Paulo,200.0,3.0,1.0,10.0,2240000.0,4558001.0,-23.6074047,-46.6801826,POINT (-46.6801826 -23.6074047),355030835000029.0
28,28,Rua Kansas,Brooklin Paulista,São Paulo,200.0,3.0,1.0,10.0,2240000.0,4558002.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
29,29,Rua Kansas,Brooklin Paulista,São Paulo,200.0,3.0,1.0,10.0,2240000.0,4558003.0,-23.6048852,-46.6833335,POINT (-46.6833335 -23.6048852),355030835000247.0
30,30,Rua Kansas,Brooklin Paulista,São Paulo,200.0,3.0,1.0,10.0,2240000.0,4558004.0,-23.6024271,-46.6864114,POINT (-46.6864114 -23.6024271),355030835000170.0
31,31,Rua Kansas,Brooklin Paulista,São Paulo,200.0,3.0,1.0,10.0,2240000.0,4558005.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
32,32,Rua Kansas,Brooklin Paulista,São Paulo,300.0,3.0,6.0,3.0,2350000.0,4558000.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
33,33,Rua Kansas,Brooklin Paulista,São Paulo,300.0,3.0,6.0,3.0,2350000.0,4558001.0,-23.6074047,-46.6801826,POINT (-46.6801826 -23.6074047),355030835000029.0
34,34,Rua Kansas,Brooklin Paulista,São Paulo,300.0,3.0,6.0,3.0,2350000.0,4558002.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
35,35,Rua Kansas,Brooklin Paulista,São Paulo,300.0,3.0,6.0,3.0,2350000.0,4558003.0,-23.6048852,-46.6833335,POINT (-46.6833335 -23.6048852),355030835000247.0
36,36,Rua Kansas,Brooklin Paulista,São Paulo,300.0,3.0,6.0,3.0,2350000.0,4558004.0,-23.6024271,-46.6864114,POINT (-46.6864114 -23.6024271),355030835000170.0
37,37,Rua Kansas,Brooklin Paulista,São Paulo,300.0,3.0,6.0,3.0,2350000.0,4558005.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
38,38,Rua Kansas,Brooklin Paulista,São Paulo,160.0,3.0,4.0,4.0,1200000.0,4558000.0,-23.6044921,-46.683813,POINT (-46.683813 -23.6044921),355030835000247.0
