,address,ward,city,area,bedrooms,bathrooms,garages,value
1,Rua Aurelia Perez Alvarez,Jardim dos Estados,São Paulo,496,4,4,4,3700000.0
2,Rua Alba Valdez,Jardim Reimberg,São Paulo,125,4,3,2,380000.0
4,Rua Tobias Barreto,Mooca,São Paulo,100,3,2,2,540000.0
5,Rua Graham Bell,Santo Amaro,São Paulo,440,4,4,6,1980000.0
6,Rua Francisco Paulo,Cidade Mãe do Céu,São Paulo,145,4,4,2,850000.0
7,Rua Guilherme Valente,Jardim Vergueiro,São Paulo,150,2,2,2,450000.0
8,Rua Sagrada Família,Jardim Benfica,São Paulo,48,2,1,1,199900.0
9,Rua Tapaji,Vila Alpina,São Paulo,114,3,3,2,585000.0
10,Rua Vigário João Álvares,Vila Monumento,São Paulo,261,4,4,3,700000.0
12,Rua Tuim,Vila Uberabinha,São Paulo,193,3,3,2,2500000.0
13,Rua Antônio Pereira Mendes,Jardim Prudência,São Paulo,251,3,5,4,1700000.0
14,Rua João Antunes Carvalho,Lauzane Paulista,São Paulo,300,4,5,4,1150000.0
15,Rua Timbé,Jardim Santa Maria,São Paulo,135,3,3,2,550000.0
16,Rua João Tauler,Vila Nova,São Paulo,180,4,2,4,420000.0
17,Rua Alice Garcia Vega,Itaberaba,São Paulo,300,3,5,4,2232000.0
19,Avenida Antônio Joaquim de Moura Andrade,Vila Nova Conceição,São Paulo,605,3,3,4,4190000.0
20,Rua Marcos Fernandes,Jardim da Saúde,São Paulo,110,3,2,5,860000.0
21,Rua José Leão dos Santos,Jardim Santo Antônio,São Paulo,250,4,4,4,650000.0
22,Rua Jaime Pinto Ferreira,Vila Mazzei,São Paulo,120,2,1,1,490000.0
23,Rua Aldo de Azevedo,Vila Madalena,São Paulo,170,2,2,1,1485000.0
24,Rua Antônio Wey,Jardim Ivana,São Paulo,250,3,1,5,650000.0
25,Rua João Francisco de Moura,Vila Campo Grande,São Paulo,110,3,3,2,550000.0
26,Rua Serra de Botucatu,Vila Gomes Cardim,São Paulo,120,3,2,2,1100000.0
27,Rua Andrade Neves,Bela Aliança,São Paulo,502,4,6,4,2985000.0
28,Rua Japeacaba,Vila Albertina,São Paulo,268,3,6,4,1700000.0
29,Rua Senador Vergueiro,Santo Amaro,São Paulo,355,4,7,4,3100000.0
32,Rua Domingos Menezes,Vila Libanesa,São Paulo,320,5,4,6,890000.0
33,Rua Manuel Monteiro,Cidade Domitila,São Paulo,180,3,3,4,550000.0
34,Rua Serra da Sentinela,Vila Nova Savoia,São Paulo,325,4,6,3,1650000.0
35,Avenida Maria Estela,Jardim Maria Estela,São Paulo,110,2,1,1,445000.0
36,Rua Professor Ciro Formicola,Parque São Rafael,São Paulo,125,2,1,2,425000.0
37,Rua Elias Gannam,Vila Bandeirantes,São Paulo,120,2,3,2,500000.0
38,Rua Zacarias de Gois,Parque Colonial,São Paulo,138,3,1,3,1060000.0
39,Rua Gregório Paes de Almeida,Vila Madalena,São Paulo,401,5,9,4,3890000.0
40,Avenida das Magnólias,Cidade Jardim,São Paulo,420,4,4,4,2200000.0
41,Rua Mata Machado,Vila Califórnia,São Paulo,260,4,4,4,1250000.0
42,Rua Alfonso de Albuquerque,Jardim das Imbuias,São Paulo,200,3,5,3,1250000.0
43,Rua Vicente Góes e Aranha,Vila Tramontano,São Paulo,463,4,6,6,2200000.0
44,Avenida Presidente Tancredo Neves,Vila Nancy,São Paulo,132,2,1,1,390000.0
45,Rua Antônio Assumpção,Parada Inglesa,São Paulo,154,2,4,4,650000.0
46,Rua Lauro Luchesi,Jardim Leonor Mendes de Barros,São Paulo,300,4,4,3,1600000.0
47,Rua Artur Montenegro,Jardim Iva,São Paulo,250,2,2,2,370000.0
48,Avenida Dom Rodrigo Sanches,Jardim Amália,São Paulo,120,2,2,1,130000.0
49,Rua Domingos de Braga,Vila dos Remédios,São Paulo,110,3,3,2,545000.0
50,Rua Kansas,Brooklin Paulista,São Paulo,180,3,3,3,1100000.0
51,Rua Comendador Armando Pereira,Tremembé,São Paulo,151,3,3,8,520000.0
52,Rua Santo Adauto,Vila Minerva,São Paulo,170,3,2,2,325000.0
53,Rua dos Maracujás,Vila Mazzei,São Paulo,211,4,7,8,890000.0
54,Avenida Raimundo Pereira de Magalhães,Pirituba,São Paulo,102,3,4,2,409000.0
55,Rua Nicolau Barreto,Vila Cordeiro,São Paulo,177,3,5,2,1500000.0
58,Rua Salvador Fontoura,Parque Boturussu,São Paulo,210,3,2,6,250000.0
60,Rua Inglaterra,Jardim Europa,São Paulo,200,3,3,2,13000.0
61,Rua Peribebuí,Alto da Lapa,São Paulo,440,4,6,7,2200000.0
